	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ADAMTS13	1.39635469881951	8.57270723541161	11.4300641720352	2.01012248106436e-12	1.40096797267225e-10	18.313267184177	ILMN_2120247	ADAMTS13	up
ADAMTS14	-4.03689974898151	10.0673848134051	-11.425670564144	2.02911147901563e-12	1.40483065563293e-10	18.3038210401909	ILMN_1660372	ADAMTS14	down
ADAMTS17	-1.81853676604299	8.11584873177486	-11.4137163058193	2.0817147114423e-12	1.43526394943742e-10	18.278107512479	ILMN_1712023	ADAMTS17	down
ADAMTS18	1.37814600922186	10.1886362424041	11.3850842298464	2.21347312089871e-12	1.52065603405741e-10	18.2164476275108	ILMN_1775762	ADAMTS18	up
ADAMTS2	1.58414609443773	8.91720931131885	11.2896839425188	2.71763246251397e-12	1.85377227123825e-10	18.0102607921992	ILMN_1768505	ADAMTS2	up
ADAMTS20	-1.94228608059877	12.8316542565656	-11.2823968529707	2.76068908005988e-12	1.87648816763363e-10	17.9944644361752	ILMN_1728512	ADAMTS20	down
ADAMTS3	-1.85015807128263	8.43549184474539	-11.2778434240804	2.78794828812472e-12	1.88834412923828e-10	17.9845904995676	ILMN_2087629	ADAMTS3	down
ADAMTS4	-1.19022764211717	7.72239012396501	-11.2539504161455	2.93557928543929e-12	1.9813615134986e-10	17.9327367079704	ILMN_1787750	ADAMTS4	down
ADAMTS5	1.38879471297636	9.08935121318924	11.2386472726724	3.03432689199356e-12	2.03896708541769e-10	17.8994873385455	ILMN_1776464	ADAMTS5	up
ADAMTS8	-1.96107150078305	11.3497463068228	-11.2149873463767	3.19375573573045e-12	2.12578149939484e-10	17.8480230127786	ILMN_2185845	ADAMTS8	down
ADAMTS9	-2.82038927931362	10.835755182789	-11.1670387432834	3.54374331790168e-12	2.35060160217782e-10	17.743510183403	ILMN_2310814	ADAMTS9	down
ADAMTSL1	-1.78030126509883	7.62082402508243	-11.1237536007988	3.8934563744219e-12	2.56692257834727e-10	17.6489126723945	ILMN_1751495	ADAMTSL1	down
ADAMTSL2	2.42934375314622	8.95371489284681	11.1233881180288	3.89655537989916e-12	2.56692257834727e-10	17.6481129183432	ILMN_1795865	ADAMTSL2	up
ADAMTSL3	-3.61051076296912	10.695999092488	-11.1216375970598	3.91143353871068e-12	2.56792954097743e-10	17.644282171437	ILMN_1698179	ADAMTSL3	down
ADAMTSL4	-1.76630817971133	12.0828513905231	-11.0820046583987	4.26434401217062e-12	2.79009936796306e-10	17.5574475914899	ILMN_1776188	ADAMTSL4	down
ADAMTSL5	-1.07380969268178	7.7855848217995	-11.0800211359917	4.28284169684785e-12	2.79270314849374e-10	17.5530965169709	ILMN_1723626	ADAMTSL5	down
ADAP2	-1.01139229155666	7.60778696872555	-11.0674036072857	4.40245173977962e-12	2.85136571267342e-10	17.5254068828677	ILMN_1695061	ADAP2	down
ADAR	-1.46236631727841	12.6879738610966	-11.0591797442245	4.48225087456531e-12	2.89330798064223e-10	17.5073484239681	ILMN_1789733	ADAR	down
ADARB1	-1.07317478313764	8.32828106881815	-11.0514142454649	4.55896446720164e-12	2.93298463180906e-10	17.4902885787535	ILMN_2328224	ADARB1	down
